CID,Type,Impact,First Detected,Owner,Classification,Severity,Action,Component,Category
19653,Unused value,Low,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Code maintainability issues
19693,Unused value,Low,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Code maintainability issues
19674,Resource leak on an exceptional path,Low,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks
19676,Resource leak on an exceptional path,Low,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks
19694,Resource leak on an exceptional path,Low,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,Exceptional resource leaks
19642,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19643,Cross-site scripting,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19646,Cross-site scripting,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19648,Cross-site scripting,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19649,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19651,Cross-site request forgery,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19654,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19657,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19659,Cross-site scripting,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19660,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19662,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19664,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19665,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19666,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19667,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19669,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19670,"Filesystem path, filename, or URI manipulation",High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19671,"Filesystem path, filename, or URI manipulation",High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19672,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19673,Cross-site scripting,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19677,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19678,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19679,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19681,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19683,Cross-site request forgery,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19684,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19685,Cross-site scripting,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19686,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19687,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19688,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
19689,SQL injection,High,04/01/20,Unassigned,Unclassified,Unspecified,Undecided,Other,High impact security
