CID,Type,Impact,Classification,Severity,Action,Component,Category,File,Function
19641,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/ReflectedXSS.aspx.cs,OWASP.WebGoat.NET.ReflectedXSS::LoadCity
19642,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/SqliteDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.SqliteDbProvider::GetEmailByName
19643,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/CustomerLogin.aspx,
19644,Debug mode enabled,Low,Unclassified,Unspecified,Undecided,Other,Low impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/bin/DotNetGoat.dll.config,
19645,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/ProductDetails.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.ProductDetails::LoadComments
19646,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/Orders.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.Orders::Page_Load
19647,Open redirect,Medium,Unclassified,Unspecified,Undecided,Other,Medium impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/CustomerLogin.aspx.cs,OWASP.WebGoat.NET.WebGoatCoins.CustomerLogin::ButtonLogOn_Click
19648,Cross-site scripting,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/Content/ReadlineDoS.aspx.cs,OWASP.WebGoat.NET.ReadlineDoS::btnUpload_Click
19649,SQL injection,High,Unclassified,Unspecified,Undecided,Other,High impact security,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/App_Code/DB/MySqlDbProvider.cs,OWASP.WebGoat.NET.App_Code.DB.MySqlDbProvider::GetCustomerEmail
19650,Dereference null return value,Medium,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Winter 2020/CMPUT 664/Project/Progress/Analysis/WebGoat.NET-master/WebGoat.NET-master/WebGoat/WebGoatCoins/Autocomplete.ashx.cs,OWASP.WebGoat.NET.WebGoatCoins.Autocomplete::ProcessRequest
