Severity	Code	Description	Project	File	Line	Suppression State
Warning	SCS0008	The cookie is missing security flag Secure	1_App_Code, WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\App_Code\CookieManager.cs	18	Active
Warning	SCS0009	The cookie is missing security flag HttpOnly	1_App_Code, WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\App_Code\CookieManager.cs	18	Active
Warning	SCS0006	Weak hashing function	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\EncryptVSEncode.aspx.cs	93	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\ForgotPassword.aspx.cs	37	Active
Warning	SCS0008	The cookie is missing security flag Secure	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\ForgotPassword.aspx.cs	42	Active
Warning	SCS0009	The cookie is missing security flag HttpOnly	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\ForgotPassword.aspx.cs	42	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\ForgotPassword.aspx.cs	66	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\HeaderInjection.aspx.cs	16	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\MessageDigest.aspx.cs	26	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\PathManipulation.aspx.cs	43	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\ReadlineDoS.aspx.cs	23	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\SQLInjectionDiscovery.aspx.cs	30	Active
Warning	SCS0018	Path traversal: injection possible in 1st argument passed to 'FileUpload1.SaveAs'	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\UploadPathManipulation.aspx.cs	25	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\UploadPathManipulation.aspx.cs	26	Active
Warning	SCS0007	XML parsing vulnerable to XXE	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Content\XPathInjection.aspx.cs	26	Active
Warning	SCS0008	The cookie is missing security flag Secure	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Default.aspx.cs	28	Active
Warning	SCS0009	The cookie is missing security flag HttpOnly	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\Default.aspx.cs	28	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\ProxySetup.aspx.cs	17	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\Autocomplete.ashx.cs	33	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\ChangePassword.aspx.cs	33	Active
Warning	SCS0008	The cookie is missing security flag Secure	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\CustomerLogin.aspx.cs	59	Active
Warning	SCS0009	The cookie is missing security flag HttpOnly	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\CustomerLogin.aspx.cs	59	Active
Warning	SCS0027	Open redirect: possibly unvalidated input in 1st argument passed to 'Response.Redirect'	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\CustomerLogin.aspx.cs	72	Active
Warning	SCS0029	Potential XSS vulnerability	WebGoat.NET	E:\Winter 2020\CMPUT 664\Project\Progress\Analysis\WebGoat.NET-master\WebGoat.NET-master\WebGoat\WebGoatCoins\ForgotPassword.aspx.cs	38	Active
